accession_number	short_title	description	fabric
26.2.92	Corinthian black figure column krater	Outside, on red slip, hind legs and part of body of a bull (?); behind, legs of bird or siren; in field one cruciform rosette. Incisions. No trace of aplied colours on figures, but below the figure zone bands, white-red-white on black. Inside black.	Corinthian
26.2.93	Attic black figure amphora, hydria, or jug	Lion\\'s (?) paw with outline and pads incised; cruciform rosette with incisions and applied red on top and bottom petals.	Attic
26.2.94	Attic black figure siana cup	Outside, good black with reserved band on which are four black lines.  Inside, part of border of medallion consisting of framed tongues, alternating red and black, a reserved zone with black lines and a dot band.	Attic
26.2.95	Attic black figure kylix fragment	Fragment shows legs of a man, perhaps with a deer. Details in black, white for outlines. Interior black glaze.	Attic
26.2.96	Attic black figure amphora	Round shield with red rim; device a white octopus.	Attic
26.2.97	Attic black figure lekythos	On shoulder, small bit of tendril.  Round top of body triple pomegranate band bordered by pair of lines above and below.  Head of horse with applied red on mane.	Attic
26.4.1A-B	Boeotian floral ware lidded pyxis	Lid are palmettes and tendrils, three ridges painted black and bars to edge which is slightly raised.  Underside is black around edge and reserved in the centre. Body is black inside and on outer rim.  Design on sides comprised of alternating palmettes and lotuses (three of each) joined by tendrils.  Below is a broad black band, ridge with red either sid eand rays. Inset tripod foot which is black at top and red on outside but black inside feet.  Base ruddled	Boeotian
26.4.2	Boeotian floral ware kylix	The rim on the outside has a thick black band round it, which stops at the top of the handles. On both sides of the handle, the same images are repeated, showing the figure of a bird in between two palmettes with stems ending in a curling ventril with a pendant pointing down towards the foot.  Beneath each handle is an ivy leaf with a curled stem.  Below these images, is a thin black band, and then a thick one that also encompasses the top side of the foot. The edge of the foot is grooved and reserved, as is the outer rim of the base of the foot. On the base of the foot, there is a well approx 3.8cm wide and 1.5cm deep. The inside of this well and a rim around the edge is fired black, but is mostly red. The inside of the Kylix shows a thin black band that has been extended from the outside. Then there is a thin reserved band, the rest of the inside entirely glazed, except for a small reserved circle in the centre.	Boeotian
26.4.3	Boeotian floral ware stamnos-pyxis	Lid is decorated with palmettes, and black vertical bars on the rim. Stamnos-pyxis also has black vertical bars, on the shoulder. Body: two thin black bands, four palmettes, stems rising from a thick black band below them. The base is reserved.	Boeotian
26.4.3A-B	Euboean black figure; floral ware stamnos-pyxis	Lid has small knob for handling. Shoulder (lid surface) is decorated with four palmettes seperated by lotus\\'s, the rim of the ld is black as is the inside of the vessel. The underside of the lid is reserved. A wave pattern decorates the body whilst the underside and foot are black. The base is reserved.	Euboean
26.4.4	Boeotian floral ware stamnos-pyxis	The rim of the mouth has a thin redish band round it, below is reserved, and then there is another thin reddish band. The handles begin just below this band, but rise above the mouth of the pot. The outside of the handles are black, the inside reserved. On either side of each handle are small blunt spurs (four in total). The main zone of the body is decorated, on either side, with lotuses between palmettes.  Between the spurs and the handles are ivy leaves (three with stems, one without).  Beneath each handle, there is a palmette.  Below the main zone are three red bands, a thin one on either side of a thick one. There is then a reserved space, before another thin band, below which is a thick one. The molded foot has reserved ridges on either side of a reddish-black one. The base of the foot is also reserved. The inside of the pot is red.	Boeotian
26.4.5	Boeotian black figure stamnos-pyxis lid	On the flat top of the knob, there is a 16 rayed astar in black. On the stem of the lid, are four seperate bands. On the lid, there is an ivy wreath with a faint red stem running through the middle, in between two thin black bands. Outside this, there is a band of leaves and then a plain outer band that reaches the rim. The underneath of the lid is reserved and has a ridge about 1.5cm in.	Boeotian
26.5.1	Attic (?) black figure; silhouette skyphos	Inside black apart from a reserved band around rim and disk in bottom. The Handles are black on top and reserved underneath. Both sides are the same, with a bird (duck\\/swan) on each side between palmette with curling stem.  Under one handle is an ivy leaf on a stem.  Below are bands.  Red band around top of foot.	Attic (?)
26.5.2	Corinthian late corinthian ii - iii kothon	Inside is reserved except for two bands in centre.  On top is a double row of black dots between red lines.  Below are three black bands.  Turned in rim is black on inside.  Foot ring is black.  On bottom is a central dot and two circles.  Black but largely fired red. Handle is reserved.	Corinthian
26.7.1	Attic kantharos	Handles have a mixed pattern of horizontal lines at the top and bottom with vertical lines in the middle with the underneath reserved.  Inside is almost ribbed in texture and painted black\\/brown with convex circle at centre.  Outside is reserved apart from pattern which is similar both sides.  Central design is a four-spoked wheel within two circles flanked by two horizontal patterns of crossed lines and three vertical lines. Below is two bands then brown almost to bottom except for a thin reserved band at base.  Underneath is flat and reserved.	Attic
26.7.10	Boeotian figurine	Woman in cloak, playing tympanum(beathing rympareum(?)).  Head missing.  Clay brownish-pink.  White slip.  Hollow, and oval hole in back.	Boeotian
26.7.11	Boeotian black figure bell	Spot painted on the top. Otherwise reserved except for two black bands around the main zone.	Boeotian
26.7.12	Boeotian fibula	 	Boeotian
26.7.13	solid cast arrowhead	 	 
26.7.14	Boeotian kabeiric skyphos	Fragment. The top of the fragment has a black line around it, below which is a handle. Shape of the handle is completely round, with a flick on one side.  To the right of the handle are two lines of dots that run one above the other. Below the handle are two parallel lines. The inside of the fragment is black, fired red.	Boeotian
26.7.15	Boeotian black figure kantharos	On main zone, both A and B show a spray of leaves in applied white. There is a long stem leading down to the foot, the base of which has a thin wash of glaze on it.	Boeotian
